type,facdor__period,facdor__status,facdor__openPrice,facdor__openNumber,facdor__isGreen,facdor__isRed,facdor__isViolet
3,20200516428,0,179849,9,1,0,0
3,20200516427,0,179866,6,0,1,0
3,20200516426,0,179866,6,0,1,0
3,20200516425,0,179871,1,1,0,0
3,20200516424,0,179880,0,0,1,1
3,20200516423,0,179897,7,1,0,0
3,20200516422,0,179921,1,1,0,0
3,20200516421,0,179928,8,0,1,0
3,20200516420,0,179956,6,0,1,0
3,20200516419,0,179956,6,0,1,0
3,20200516418,0,179973,3,1,0,0
3,20200516417,0,179997,7,1,0,0
3,20200516416,0,180018,8,0,1,0
3,20200516415,0,180038,8,0,1,0
3,20200516414,0,180063,3,1,0,0
3,20200516413,0,180063,3,1,0,0
3,20200516412,0,180077,7,1,0,0
3,20200516411,0,180097,7,1,0,0
3,20200516410,0,180097,7,1,0,0
3,20200516409,0,180107,7,1,0,0
3,20200516408,0,180130,0,0,1,1
3,20200516407,0,180137,7,1,0,0
3,20200516406,0,180156,6,0,1,0
3,20200516405,0,180174,4,0,1,0
3,20200516404,0,180185,5,1,0,1
3,20200516403,0,180184,4,0,1,0
3,20200516402,0,180186,6,0,1,0
3,20200516401,0,180187,7,1,0,0
3,20200516400,0,180210,0,0,1,1
3,20200516399,0,180239,9,1,0,0
3,20200516398,0,180253,3,1,0,0
3,20200516397,0,180270,0,0,1,1
3,20200516396,0,180284,4,0,1,0
3,20200516395,0,180301,1,1,0,0
3,20200516394,0,180315,5,1,0,1
3,20200516393,0,180336,6,0,1,0
3,20200516392,0,180338,8,0,1,0
3,20200516391,0,180347,7,1,0,0
3,20200516390,0,180367,7,1,0,0
3,20200516389,0,180384,4,0,1,0
3,20200516388,0,180384,4,0,1,0
3,20200516387,0,180388,8,0,1,0
3,20200516386,0,180410,0,0,1,1
3,20200516385,0,180424,4,0,1,0
3,20200516384,0,180423,3,1,0,0
3,20200516383,0,180428,8,0,1,0
3,20200516382,0,180439,9,1,0,0
3,20200516381,0,180447,7,1,0,0
3,20200516380,0,180455,5,1,0,1
3,20200516379,0,180463,3,1,0,0
3,20200516378,0,180478,8,0,1,0
3,20200516377,0,180490,0,0,1,1
3,20200516376,0,180519,9,1,0,0
3,20200516375,0,180535,5,1,0,1
3,20200516374,0,180540,0,0,1,1
3,20200516373,0,180566,6,0,1,0
3,20200516372,0,180561,1,1,0,0
3,20200516371,0,180572,2,0,1,0
3,20200516370,0,180575,5,1,0,1
3,20200516369,0,180580,0,0,1,1
3,20200516368,0,180593,3,1,0,0
3,20200516367,0,180592,2,0,1,0
3,20200516366,0,180619,9,1,0,0
3,20200516365,0,180648,8,0,1,0
3,20200516364,0,180654,4,0,1,0
3,20200516363,0,180661,1,1,0,0
3,20200516362,0,180670,0,0,1,1
3,20200516361,0,180691,1,1,0,0
3,20200516360,0,180703,3,1,0,0
3,20200516359,0,180725,5,1,0,1
3,20200516358,0,180756,6,0,1,0
